식품명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식품중량
피자_점보스테이크불갈비 피자 (L),빵 및 과자류,피자,100g,240,12.47,,,1640g
피자_치폴레쉬림프 피자,빵 및 과자류,피자,100g,267,12.82,,,930g
피자_치폴레쉬림프디트로이트,빵 및 과자류,피자,100g,267,12.82,15.38,21.79,930g
피자_칠리불갈비 피자 골드스윗 (L),빵 및 과자류,피자,100g,279,14.41,,,886g
피자_칠리불갈비 피자 골드스윗 (R),빵 및 과자류,피자,100g,279,14.37,,,695g
피자_칠리불갈비 피자 리코타링 (L),빵 및 과자류,피자,100g,280,15,,,796g
피자_칠리불갈비 피자 리코타링 (R),빵 및 과자류,피자,100g,281,15.19,,,630g
피자_칠리불갈비 피자 석쇠 (L),빵 및 과자류,피자,100g,276,14.94,,,696g
피자_칠리불갈비 피자 석쇠 (R),빵 및 과자류,피자,100g,276,15.22,,,550g
피자_칠리불갈비 피자 씬도우 (L),빵 및 과자류,피자,100g,303,16.35,,,634g
피자_칠리불갈비 피자 씬도우 (R),빵 및 과자류,피자,100g,307,14.02,,,427g
피자_칠리불갈비 피자 씬바샤삭 (L),빵 및 과자류,피자,100g,303,16.35,,,634g
피자_칠리불갈비 피자 씬바샤삭 (R),빵 및 과자류,피자,100g,307,14.02,,,427g
피자_칠리불갈비 피자 치즈링 (L),빵 및 과자류,피자,100g,271,15.69,,,816g
피자_칠리불갈비 피자 치즈링 (R),빵 및 과자류,피자,100g,271,15.95,,,650g
피자_칠리새우 피자 골드스윗 (L),빵 및 과자류,피자,100g,275,13.24,,,1086g
피자_칠리새우 피자 골드스윗 (R),빵 및 과자류,피자,100g,274,12.77,,,751g
피자_칠리새우 피자 리코타링 (L),빵 및 과자류,피자,100g,275,13.6,,,996g
피자_칠리새우 피자 리코타링 (R),빵 및 과자류,피자,100g,276,13.37,,,686g
피자_점보불고기피자,빵 및 과자류,피자,100g,221,16.29,,,1560g
피자_치킨할라피뇨 피자 골드스윗 (G),빵 및 과자류,피자,100g,279,12.5,,,1355g
피자_치킨할라피뇨 피자 골드스윗 (L),빵 및 과자류,피자,100g,276,15.18,,,898g
피자_치킨할라피뇨 피자 골드스윗 (R),빵 및 과자류,피자,100g,272,14.57,,,604g
피자_치킨할라피뇨 피자 리코타링 (G),빵 및 과자류,피자,100g,283,12.5,,,1200g
피자_치킨할라피뇨 피자 리코타링 (L),빵 및 과자류,피자,100g,276,15.84,,,808g
피자_치킨할라피뇨 피자 리코타링 (R),빵 및 과자류,피자,100g,274,15.56,,,539g
피자_치킨할라피뇨 피자 석쇠 (G),빵 및 과자류,피자,100g,276,12.75,,,1020g
피자_치킨할라피뇨 피자 석쇠 (L),빵 및 과자류,피자,100g,269,15.82,,,708g
피자_치킨할라피뇨 피자 석쇠 (R),빵 및 과자류,피자,100g,267,15.65,,,459g
피자_치킨할라피뇨 피자 씬도우 (L),빵 및 과자류,피자,100g,317,17.36,,,483g
피자_치킨할라피뇨 피자 씬도우 (R),빵 및 과자류,피자,100g,309,16.55,,,370g
피자_치킨할라피뇨 피자 씬바샤삭 (L),빵 및 과자류,피자,100g,317,17.36,,,483g
피자_치킨할라피뇨 피자 씬바샤삭 (R),빵 및 과자류,피자,100g,309,16.55,,,370g
피자_치킨할라피뇨 피자 치즈링 (G),빵 및 과자류,피자,100g,270,14.52,,,1240g
피자_치킨할라피뇨 피자 치즈링 (L),빵 및 과자류,피자,100g,264,16.35,,,828g
피자_치킨할라피뇨 피자 치즈링 (R),빵 및 과자류,피자,100g,262,16.43,,,559g
피자_치폴레미트피자오리지널,빵 및 과자류,피자,100g,252,14,,,600g
피자_치폴레쉬림프 (L),빵 및 과자류,피자,100g,235,10.35,,,932g
